,ts_code,symbol,name
0,000001.SZ,000001,平安银行
1,000002.SZ,000002,万科A
2,000004.SZ,000004,国农科技
3,000005.SZ,000005,世纪星源
4,000006.SZ,000006,深振业A
5,000007.SZ,000007,全新好
6,000008.SZ,000008,神州高铁
7,000009.SZ,000009,中国宝安
8,000010.SZ,000010,*ST美丽
9,000011.SZ,000011,深物业A
10,000012.SZ,000012,南玻A
11,000014.SZ,000014,沙河股份
12,000016.SZ,000016,深康佳A
13,000017.SZ,000017,深中华A
14,000018.SZ,000018,*ST神城
15,000019.SZ,000019,深粮控股
16,000020.SZ,000020,深华发A
17,000021.SZ,000021,深科技
18,000023.SZ,000023,深天地A
19,000025.SZ,000025,特力A
20,000026.SZ,000026,飞亚达A
21,000027.SZ,000027,深圳能源
22,000028.SZ,000028,国药一致
23,000029.SZ,000029,深深房A
24,000030.SZ,000030,富奥股份
25,000031.SZ,000031,大悦城
26,000032.SZ,000032,深桑达A
27,000034.SZ,000034,神州数码
28,000035.SZ,000035,中国天楹
29,000036.SZ,000036,华联控股
30,000037.SZ,000037,深南电A
31,000038.SZ,000038,深大通
32,000039.SZ,000039,中集集团
33,000040.SZ,000040,东旭蓝天
34,000042.SZ,000042,中洲控股
35,000043.SZ,000043,中航善达
36,000045.SZ,000045,深纺织A
37,000046.SZ,000046,泛海控股
38,000048.SZ,000048,*ST康达
39,000049.SZ,000049,德赛电池
40,000050.SZ,000050,深天马A
41,000055.SZ,000055,方大集团
42,000056.SZ,000056,皇庭国际
43,000058.SZ,000058,深赛格
44,000059.SZ,000059,华锦股份
45,000060.SZ,000060,中金岭南
46,000061.SZ,000061,农产品
47,000062.SZ,000062,深圳华强
48,000063.SZ,000063,中兴通讯
49,000065.SZ,000065,北方国际
50,000066.SZ,000066,中国长城
51,000068.SZ,000068,华控赛格
52,000069.SZ,000069,华侨城A
53,000070.SZ,000070,特发信息
54,000078.SZ,000078,海王生物
55,000088.SZ,000088,盐田港
56,000089.SZ,000089,深圳机场
57,000090.SZ,000090,天健集团
58,000096.SZ,000096,广聚能源
59,000099.SZ,000099,中信海直
60,000100.SZ,000100,TCL集团
61,000150.SZ,000150,宜华健康
62,000151.SZ,000151,中成股份
63,000153.SZ,000153,丰原药业
64,000155.SZ,000155,川能动力
65,000156.SZ,000156,华数传媒
66,000157.SZ,000157,中联重科
67,000158.SZ,000158,常山北明
68,000159.SZ,000159,国际实业
69,000166.SZ,000166,申万宏源
70,000301.SZ,000301,东方盛虹
71,000333.SZ,000333,美的集团
72,000338.SZ,000338,潍柴动力
73,000400.SZ,000400,许继电气
74,000401.SZ,000401,冀东水泥
75,000402.SZ,000402,金融街
76,000403.SZ,000403,振兴生化
77,000404.SZ,000404,长虹华意
